Host Since,Host Response Time,Host Response Rate,Host Verifications,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 60,Availability 365,Number of Reviews,Last Review,Review Scores Rating,Review Scores Location,Cancellation Policy,Calculated host listings count,Reviews per Month
4378,2.0,100.0,4.0,0,0,5,2.0,2.0,3.0,1,22.0,98.0,100.0,50.0,2,10,3,365,24,291,49,2297.0,85.0,10.0,2,3.0,1.01
2724,3.0,100.0,3.0,0,1,2,1.0,1.0,1.0,1,5.0,32.0,0.0,11.0,1,10,1,1125,27,55,7,2276.0,92.0,10.0,2,3.0,1.46
3316,2.0,100.0,4.0,0,1,2,3.0,1.0,1.0,1,11.0,16.0,0.0,15.0,1,0,10,1125,2,296,1,3199.0,80.0,10.0,2,97.0,0.03
4064,3.0,100.0,5.0,0,0,6,1.0,1.0,2.0,1,18.0,80.0,0.0,0.0,3,10,1,1125,24,310,274,2252.0,97.0,10.0,2,4.0,4.92
2866,2.0,100.0,3.0,0,0,2,1.0,1.0,1.0,1,13.0,70.0,0.0,0.0,1,0,2,1125,44,349,21,2291.0,83.0,10.0,0,1.0,1.69
3435,3.0,100.0,4.0,0,1,2,1.0,1.0,1.0,1,14.0,45.0,0.0,5.0,1,35,1,14,60,365,2,2300.0,100.0,9.0,2,1.0,0.66
2731,3.0,90.0,4.0,0,0,4,1.0,2.0,2.0,1,21.0,249.0,99.0,0.0,2,15,1,150,26,54,13,2322.0,83.0,10.0,2,10.0,1.49
3015,3.0,100.0,5.0,0,0,4,1.0,2.0,2.0,1,20.0,90.0,0.0,15.0,2,10,2,1125,9,281,132,2257.0,96.0,10.0,2,1.0,5.33
2651,3.0,100.0,5.0,0,0,4,1.0,1.0,2.0,1,12.0,50.0,100.0,30.0,2,15,1,1125,0,64,16,2325.0,89.0,10.0,2,8.0,2.24
4022,1.0,100.0,5.0,0,0,6,1.0,2.0,4.0,1,12.0,95.0,150.0,0.0,6,0,2,1125,7,144,38,2562.0,82.0,9.0,1,26.0,0.79
3106,2.0,100.0,4.0,1,1,2,2.0,1.0,1.0,1,21.0,55.0,100.0,15.0,1,0,2,1125,17,114,52,2260.0,97.0,10.0,1,2.0,4.08
3303,2.0,100.0,4.0,0,0,3,1.0,2.0,2.0,1,24.0,120.0,130.0,30.0,1,0,1,1125,32,330,17,2263.0,94.0,10.0,1,2.0,1.26
3362,3.0,100.0,5.0,0,0,5,2.0,2.0,2.0,1,12.0,130.0,0.0,0.0,1,0,2,1125,29,31,0,3954.0,92.0,10.0,0,2.0,0.0
3337,3.0,100.0,4.0,0,0,2,1.0,1.0,1.0,1,8.0,45.0,0.0,10.0,1,0,1,1125,24,320,44,2255.0,88.0,10.0,1,1.0,3.03
3108,2.0,100.0,4.0,0,1,3,2.0,1.0,1.0,1,14.0,40.0,150.0,0.0,2,20,2,1125,28,279,71,2261.0,93.0,10.0,1,2.0,2.5
3429,0.0,0.0,4.0,0,0,2,1.0,1.0,1.0,1,13.0,175.0,0.0,0.0,1,0,1,1125,59,364,0,3954.0,92.0,10.0,0,1.0,0.0
3849,1.0,86.0,5.0,0,0,3,1.0,1.0,2.0,1,16.0,85.0,0.0,20.0,1,10,5,1125,0,0,16,2326.0,94.0,10.0,2,2.0,0.47
3331,3.0,98.0,2.0,14,1,2,1.0,1.0,1.0,1,13.0,25.0,0.0,7.0,2,15,1,1125,16,286,112,2258.0,80.0,9.0,1,10.0,4.99
2505,3.0,100.0,3.0,0,0,6,1.0,2.0,3.0,1,15.0,84.0,0.0,20.0,4,10,2,1125,18,295,35,2254.0,96.0,10.0,2,1.0,6.0
2404,3.0,100.0,3.0,0,0,2,1.0,1.0,1.0,1,20.0,100.0,0.0,30.0,1,0,2,1125,22,115,5,2263.0,96.0,10.0,2,1.0,2.94
2752,3.0,100.0,5.0,0,0,4,1.0,1.0,2.0,1,24.0,75.0,150.0,25.0,2,15,2,14,11,113,98,2261.0,98.0,10.0,0,2.0,6.34
2478,3.0,100.0,6.0,12,1,2,1.0,1.0,1.0,1,14.0,45.0,0.0,0.0,1,0,2,28,0,0,16,2299.0,91.0,10.0,2,8.0,2.87
3464,3.0,100.0,3.0,0,0,4,1.0,1.0,4.0,1,17.0,110.0,0.0,0.0,1,0,2,20,25,320,5,2557.0,76.0,9.0,1,8.0,0.13
2915,3.0,100.0,6.0,0,0,4,1.0,0.0,1.0,1,18.0,95.0,0.0,0.0,2,20,3,1125,25,328,0,3954.0,92.0,10.0,2,13.0,0.0
3335,3.0,100.0,6.0,0,0,5,1.0,1.0,2.0,1,12.0,80.0,0.0,25.0,3,15,1,1125,9,27,2,2262.0,100.0,10.0,0,9.0,2.0
4221,3.0,94.0,4.0,0,0,2,1.0,1.0,1.0,1,16.0,82.0,200.0,32.0,2,11,4,1125,22,307,10,2307.0,96.0,10.0,1,51.0,0.32
3664,3.0,97.0,4.0,0,0,4,1.0,1.0,1.0,1,13.0,75.0,200.0,45.0,2,15,2,1125,8,235,122,2257.0,92.0,9.0,2,5.0,2.72
